time	V(n001)	V(n004)	V(n008)
5.171982903101318e-004	5.000000e+000	1.999674e+000	1.400855e+000
5.176646932656120e-004	5.000000e+000	2.064726e+000	1.167653e+000
5.183146079260779e-004	5.000000e+000	2.145212e+000	8.426960e-001
5.190813035970287e-004	5.000000e+000	2.227588e+000	4.593482e-001
5.200000000000001e-004	5.000000e+000	2.315191e+000	0.000000e+000
5.200596102876891e-004	5.000000e+000	2.320111e+000	0.000000e+000
5.201788308630672e-004	5.000000e+000	2.329797e+000	0.000000e+000
5.204172720138234e-004	5.000000e+000	2.348452e+000	0.000000e+000
5.208941543153356e-004	5.000000e+000	2.383111e+000	0.000000e+000
5.218479189183601e-004	5.000000e+000	2.443660e+000	0.000000e+000
5.237554481244091e-004	5.000000e+000	2.542109e+000	0.000000e+000
5.263435780666206e-004	5.000000e+000	2.644402e+000	0.000000e+000
5.291343838330153e-004	5.000000e+000	2.725974e+000	0.000000e+000
5.318610762490956e-004	5.000000e+000	2.785505e+000	0.000000e+000
5.344548864617337e-004	5.000000e+000	2.829325e+000	0.000000e+000
5.369566267436690e-004	5.000000e+000	2.863004e+000	0.000000e+000
5.398566836619201e-004	5.000000e+000	2.894266e+000	0.000000e+000
5.439416074912086e-004	5.000000e+000	2.929449e+000	0.000000e+000
5.480329397258659e-004	5.000000e+000	2.957887e+000	0.000000e+000
5.508476504246608e-004	5.000000e+000	2.973926e+000	0.000000e+000
5.536985375468208e-004	5.000000e+000	2.987657e+000	0.000000e+000
5.568366546799110e-004	5.000000e+000	3.000790e+000	0.000000e+000
5.600250945239143e-004	5.000000e+000	3.012398e+000	0.000000e+000
5.636399877333176e-004	5.000000e+000	3.023821e+000	0.000000e+000
5.676012120356838e-004	5.000000e+000	3.034625e+000	0.000000e+000
5.725301440228851e-004	5.000000e+000	3.046078e+000	0.000000e+000
5.784991508692463e-004	5.000000e+000	3.057662e+000	0.000000e+000
5.865457163370285e-004	5.000000e+000	3.070364e+000	0.000000e+000
5.965457163370285e-004	5.000000e+000	3.083007e+000	0.000000e+000
6.065457163370285e-004	5.000000e+000	3.093076e+000	0.000000e+000
6.165457163370286e-004	5.000000e+000	3.101171e+000	0.000000e+000
6.265457163370286e-004	5.000000e+000	3.107823e+000	0.000000e+000
