time	V(n003)	V(n007)	V(n010)
5.163559577076405e-004	5.000000e+000	1.822021e+000	4.894615e-001
5.165221939313751e-004	5.000000e+000	1.738903e+000	5.053684e-001
5.167528530778720e-004	5.000000e+000	1.623573e+000	5.273566e-001
5.170428579546020e-004	5.000000e+000	1.478571e+000	5.548398e-001
5.174651188582626e-004	5.000000e+000	1.267441e+000	5.945393e-001
5.180223601102201e-004	5.000000e+000	9.888200e-001	6.463544e-001
5.188326033428115e-004	5.000000e+000	5.836983e-001	7.209660e-001
5.189407660361674e-004	5.000000e+000	5.296170e-001	7.308108e-001
5.190849829606420e-004	5.000000e+000	4.575085e-001	7.438748e-001
5.194231323021018e-004	5.000000e+000	2.884338e-001	7.744021e-001
5.195225632871230e-004	5.000000e+000	2.387184e-001	7.833246e-001
5.197214252571655e-004	5.000000e+000	1.392874e-001	8.011103e-001
5.200000000000001e-004	5.000000e+000	0.000000e+000	8.259488e-001
5.200278574742835e-004	5.000000e+000	0.000000e+000	8.284208e-001
5.200835724228504e-004	5.000000e+000	0.000000e+000	8.333602e-001
5.201950023199843e-004	5.000000e+000	0.000000e+000	8.432177e-001
5.204178621142519e-004	5.000000e+000	0.000000e+000	8.628454e-001
5.208635817027871e-004	5.000000e+000	0.000000e+000	9.017550e-001
5.217550208798576e-004	5.000000e+000	0.000000e+000	9.782147e-001
5.235378992339986e-004	5.000000e+000	0.000000e+000	1.126657e+000
5.260668928723238e-004	5.000000e+000	0.000000e+000	1.328528e+000
5.288688843219712e-004	5.000000e+000	0.000000e+000	1.540846e+000
5.315867147769938e-004	5.000000e+000	0.000000e+000	1.735594e+000
5.340380286093565e-004	5.000000e+000	0.000000e+000	1.901541e+000
5.367428740792861e-004	5.000000e+000	0.000000e+000	2.074621e+000
5.394566624205749e-004	5.000000e+000	0.000000e+000	2.237797e+000
5.433765123106168e-004	5.000000e+000	0.000000e+000	2.456838e+000
5.479456680375946e-004	5.000000e+000	0.000000e+000	2.693617e+000
5.509405857845740e-004	5.000000e+000	0.000000e+000	2.837235e+000
5.539606161759806e-004	5.000000e+000	0.000000e+000	2.971872e+000
5.569582797137853e-004	5.000000e+000	0.000000e+000	3.096889e+000
5.605187983207069e-004	5.000000e+000	0.000000e+000	3.235118e+000
5.644644086311479e-004	5.000000e+000	0.000000e+000	3.376542e+000
5.690944864953767e-004	5.000000e+000	0.000000e+000	3.527622e+000
5.748076186044898e-004	5.000000e+000	0.000000e+000	3.694100e+000
5.821532828684809e-004	5.000000e+000	0.000000e+000	3.879555e+000
5.921532828684809e-004	5.000000e+000	0.000000e+000	4.092060e+000
6.021532828684809e-004	5.000000e+000	0.000000e+000	4.266659e+000
6.121532828684810e-004	5.000000e+000	0.000000e+000	4.407682e+000
6.221532828684810e-004	5.000000e+000	0.000000e+000	4.521586e+000
6.321532828684810e-004	5.000000e+000	0.000000e+000	4.613586e+000
6.421532828684810e-004	5.000000e+000	0.000000e+000	4.687894e+000
6.521532828684811e-004	5.000000e+000	0.000000e+000	4.747913e+000
6.621532828684811e-004	5.000000e+000	0.000000e+000	4.796390e+000
6.721532828684811e-004	5.000000e+000	0.000000e+000	4.835545e+000
6.821532828684812e-004	5.000000e+000	0.000000e+000	4.867170e+000
6.921532828684812e-004	5.000000e+000	0.000000e+000	4.892714e+000
7.021532828684812e-004	5.000000e+000	0.000000e+000	4.913345e+000
7.121532828684812e-004	5.000000e+000	0.000000e+000	4.930009e+000
7.221532828684813e-004	5.000000e+000	0.000000e+000	4.943468e+000
7.321532828684813e-004	5.000000e+000	0.000000e+000	4.954340e+000
7.421532828684813e-004	5.000000e+000	0.000000e+000	4.963120e+000
7.521532828684813e-004	5.000000e+000	0.000000e+000	4.970212e+000
7.621532828684814e-004	5.000000e+000	0.000000e+000	4.975940e+000
7.721532828684814e-004	5.000000e+000	0.000000e+000	4.980567e+000
7.821532828684814e-004	5.000000e+000	0.000000e+000	4.984304e+000
7.921532828684814e-004	5.000000e+000	0.000000e+000	4.987322e+000
8.021532828684815e-004	5.000000e+000	0.000000e+000	4.989760e+000
8.121532828684815e-004	5.000000e+000	0.000000e+000	4.991730e+000
8.221532828684815e-004	5.000000e+000	0.000000e+000	4.993320e+000
8.321532828684815e-004	5.000000e+000	0.000000e+000	4.994605e+000
8.421532828684816e-004	5.000000e+000	0.000000e+000	4.995642e+000
8.521532828684816e-004	5.000000e+000	0.000000e+000	4.996480e+000
8.621532828684816e-004	5.000000e+000	0.000000e+000	4.997157e+000
8.721532828684817e-004	5.000000e+000	0.000000e+000	4.997704e+000
8.821532828684817e-004	5.000000e+000	0.000000e+000	4.998145e+000
8.921532828684817e-004	5.000000e+000	0.000000e+000	4.998502e+000
9.021532828684817e-004	5.000000e+000	0.000000e+000	4.998790e+000
9.121532828684818e-004	5.000000e+000	0.000000e+000	4.999022e+000
9.221532828684818e-004	5.000000e+000	0.000000e+000	4.999210e+000
9.321532828684818e-004	5.000000e+000	0.000000e+000	4.999362e+000
9.421532828684818e-004	5.000000e+000	0.000000e+000	4.999485e+000
9.521532828684819e-004	5.000000e+000	0.000000e+000	4.999584e+000
9.621532828684819e-004	5.000000e+000	0.000000e+000	4.999664e+000
9.721532828684819e-004	5.000000e+000	0.000000e+000	4.999729e+000
9.821532828684818e-004	5.000000e+000	0.000000e+000	4.999782e+000
9.900000000000000e-004	5.000000e+000	0.000000e+000	4.999815e+000
1.000000000000000e-003	5.000000e+000	0.000000e+000	4.999852e+000
