time	V(n001)	V(n006)	V(n011)
5.480329397258659e-004	5.000000e+000	0.000000e+000	4.766041e+000
5.508476504246608e-004	5.000000e+000	0.000000e+000	4.842231e+000
5.536985375468208e-004	5.000000e+000	0.000000e+000	4.891810e+000
5.568366546799110e-004	5.000000e+000	0.000000e+000	4.928623e+000
5.600250945239143e-004	5.000000e+000	0.000000e+000	4.953259e+000
5.636399877333176e-004	5.000000e+000	0.000000e+000	4.970970e+000
5.676012120356838e-004	5.000000e+000	0.000000e+000	4.982710e+000
5.725301440228851e-004	5.000000e+000	0.000000e+000	4.990838e+000
5.784991508692463e-004	5.000000e+000	0.000000e+000	4.995728e+000
5.865457163370285e-004	5.000000e+000	0.000000e+000	4.998464e+000
5.965457163370285e-004	5.000000e+000	0.000000e+000	4.999621e+000
6.065457163370285e-004	5.000000e+000	0.000000e+000	4.999924e+000
6.165457163370286e-004	5.000000e+000	0.000000e+000	4.999985e+000
6.265457163370286e-004	5.000000e+000	0.000000e+000	4.999997e+000
6.365457163370286e-004	5.000000e+000	0.000000e+000	4.999999e+000
6.465457163370287e-004	5.000000e+000	0.000000e+000	5.000000e+000
6.565457163370287e-004	5.000000e+000	0.000000e+000	5.000000e+000
6.665457163370287e-004	5.000000e+000	0.000000e+000	5.000000e+000
6.765457163370287e-004	5.000000e+000	0.000000e+000	5.000000e+000
6.865457163370288e-004	5.000000e+000	0.000000e+000	5.000000e+000
6.965457163370288e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.065457163370288e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.165457163370288e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.265457163370289e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.365457163370289e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.465457163370289e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.565457163370289e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.665457163370290e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.765457163370290e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.865457163370290e-004	5.000000e+000	0.000000e+000	5.000000e+000
7.965457163370290e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.065457163370291e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.165457163370291e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.265457163370291e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.365457163370291e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.465457163370292e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.565457163370292e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.665457163370292e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.765457163370293e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.865457163370293e-004	5.000000e+000	0.000000e+000	5.000000e+000
8.965457163370293e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.065457163370293e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.165457163370294e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.265457163370294e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.365457163370294e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.465457163370294e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.565457163370295e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.665457163370295e-004	5.000000e+000	0.000000e+000	5.000000e+000
