v6	V(n002)	V(n004)	V(n008)
1.130000000000001e+000	5.000000e+000	3.172745e+000	1.130000e+000
1.140000000000001e+000	5.000000e+000	3.174698e+000	1.140000e+000
1.150000000000001e+000	5.000000e+000	3.172094e+000	1.150000e+000
1.160000000000001e+000	5.000000e+000	3.172745e+000	1.160000e+000
1.170000000000001e+000	5.000000e+000	3.174698e+000	1.170000e+000
1.180000000000001e+000	5.000000e+000	3.172094e+000	1.180000e+000
1.190000000000001e+000	5.000000e+000	3.172745e+000	1.190000e+000
1.200000000000001e+000	5.000000e+000	3.174698e+000	1.200000e+000
1.210000000000001e+000	5.000000e+000	3.172094e+000	1.210000e+000
1.220000000000001e+000	5.000000e+000	3.172745e+000	1.220000e+000
1.230000000000001e+000	5.000000e+000	3.174698e+000	1.230000e+000
1.240000000000001e+000	5.000000e+000	3.172094e+000	1.240000e+000
1.250000000000001e+000	5.000000e+000	3.172745e+000	1.250000e+000
1.260000000000001e+000	5.000000e+000	3.174698e+000	1.260000e+000
1.270000000000001e+000	5.000000e+000	3.172094e+000	1.270000e+000
1.280000000000001e+000	5.000000e+000	3.172745e+000	1.280000e+000
1.290000000000001e+000	5.000000e+000	3.174698e+000	1.290000e+000
1.300000000000001e+000	5.000000e+000	3.172094e+000	1.300000e+000
1.310000000000001e+000	5.000000e+000	3.172745e+000	1.310000e+000
1.320000000000001e+000	5.000000e+000	3.174698e+000	1.320000e+000
1.330000000000001e+000	5.000000e+000	3.172094e+000	1.330000e+000
1.340000000000001e+000	5.000000e+000	3.172745e+000	1.340000e+000
1.350000000000001e+000	5.000000e+000	3.174698e+000	1.350000e+000
1.360000000000001e+000	5.000000e+000	3.172094e+000	1.360000e+000
1.370000000000001e+000	5.000000e+000	3.172745e+000	1.370000e+000
1.380000000000001e+000	5.000000e+000	3.174698e+000	1.380000e+000
1.390000000000001e+000	5.000000e+000	3.172094e+000	1.390000e+000
1.400000000000001e+000	5.000000e+000	3.172745e+000	1.400000e+000
1.410000000000001e+000	5.000000e+000	3.174698e+000	1.410000e+000
1.420000000000001e+000	5.000000e+000	3.172094e+000	1.420000e+000
1.430000000000001e+000	5.000000e+000	3.172745e+000	1.430000e+000
1.440000000000001e+000	5.000000e+000	3.174698e+000	1.440000e+000
1.450000000000001e+000	5.000000e+000	3.172094e+000	1.450000e+000
1.460000000000001e+000	5.000000e+000	3.172745e+000	1.460000e+000
1.470000000000001e+000	5.000000e+000	3.174698e+000	1.470000e+000
1.480000000000001e+000	5.000000e+000	3.172094e+000	1.480000e+000
1.490000000000001e+000	5.000000e+000	3.172745e+000	1.490000e+000
1.500000000000001e+000	5.000000e+000	3.174698e+000	1.500000e+000
1.510000000000001e+000	5.000000e+000	3.172094e+000	1.510000e+000
1.520000000000001e+000	5.000000e+000	3.172745e+000	1.520000e+000
1.530000000000001e+000	5.000000e+000	3.174698e+000	1.530000e+000
1.540000000000001e+000	5.000000e+000	3.172094e+000	1.540000e+000
1.550000000000001e+000	5.000000e+000	3.172745e+000	1.550000e+000
1.560000000000001e+000	5.000000e+000	3.174698e+000	1.560000e+000
1.570000000000001e+000	5.000000e+000	3.172094e+000	1.570000e+000
1.580000000000001e+000	5.000000e+000	3.172745e+000	1.580000e+000
1.590000000000001e+000	5.000000e+000	3.174698e+000	1.590000e+000
1.600000000000001e+000	5.000000e+000	3.172094e+000	1.600000e+000
1.610000000000001e+000	5.000000e+000	3.172745e+000	1.610000e+000
1.620000000000001e+000	5.000000e+000	3.174698e+000	1.620000e+000
1.630000000000001e+000	5.000000e+000	3.172094e+000	1.630000e+000
1.640000000000001e+000	5.000000e+000	3.172745e+000	1.640000e+000
1.650000000000001e+000	5.000000e+000	3.174698e+000	1.650000e+000
1.660000000000001e+000	5.000000e+000	3.172094e+000	1.660000e+000
1.670000000000001e+000	5.000000e+000	3.172745e+000	1.670000e+000
1.680000000000001e+000	5.000000e+000	3.174698e+000	1.680000e+000
1.690000000000001e+000	5.000000e+000	3.172094e+000	1.690000e+000
1.700000000000001e+000	5.000000e+000	3.172745e+000	1.700000e+000
1.710000000000001e+000	5.000000e+000	3.174698e+000	1.710000e+000
1.720000000000001e+000	5.000000e+000	3.172094e+000	1.720000e+000
1.730000000000001e+000	5.000000e+000	3.172745e+000	1.730000e+000
1.740000000000001e+000	5.000000e+000	3.174698e+000	1.740000e+000
1.750000000000001e+000	5.000000e+000	3.172094e+000	1.750000e+000
1.760000000000001e+000	5.000000e+000	3.172745e+000	1.760000e+000
1.770000000000001e+000	5.000000e+000	3.174698e+000	1.770000e+000
1.780000000000001e+000	5.000000e+000	3.172094e+000	1.780000e+000
1.790000000000001e+000	5.000000e+000	3.172745e+000	1.790000e+000
1.800000000000001e+000	5.000000e+000	3.174698e+000	1.800000e+000
1.810000000000001e+000	5.000000e+000	3.172094e+000	1.810000e+000
1.820000000000001e+000	5.000000e+000	3.172745e+000	1.820000e+000
1.830000000000001e+000	5.000000e+000	3.167790e+000	1.830000e+000
1.840000000000001e+000	5.000000e+000	3.159698e+000	1.840000e+000
1.850000000000001e+000	5.000000e+000	3.149948e+000	1.850000e+000
1.860000000000001e+000	5.000000e+000	3.140000e+000	1.860000e+000
1.870000000000001e+000	5.000000e+000	3.130000e+000	1.870000e+000
